Program Name,Entry Threshold,Duration (Domestic),Duration (International),Indicative Fees,QTAC Code,Start Semester,Career Outcomes,Location,Duration,Indicative fees,Indicative 2025 fees (A$),QTAC code,Start,You might also like...,Learn everything you need to know out in the field,In the news,CRICOS code,Entry threshold,Skip the loading screens and get your career started,Find your path to university,Ready for a change?,In high school?,Tech skills in-demand all over the world,"Study crime, justice and the law for a rewarding career",Undergraduate degree,Double degree,Honours,Associate degrees,Diplomas,Gain practical skills amongst the elite,Be in-demand with a health degree from QLD's No.1 public university for skills development*.,Jump into one of the fastest growing employment sectors,The benefits,Common questions,Business graduates are in high demand worldwide,Be taught by the best,"Just like engineers, at UniSC we make things happen",Immerse yourself,Sustainability is at the heart of everything we do,Master your skills as a nurse or midwife,Become a creative and critical thinker,Why study Arts?,There's never been a more relevant time to study psychology and social sciences,At UniSC we live and breathe sustainability
Bachelor ofLaws  / Criminology and Justice,70.00,5 years,5 years,"A$16,992 - 2025 Fees",018311,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayOnline,5 years5 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$16,992 - 2025 FeesCSP","A$16,992 - 2025 FeesCSP",018311014813015065,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inLegal StudiesSunshine Coast6 monthsfull time or equivalent part-timeCareer outcomesA first step to Paralegal work, Law administration, Law enforcement, Corrections, Youth justiceDiploma inCriminology and JusticeSunshine Coast1 yearfull time or equivalent part-timeBachelor ofLaws  / BusinessSunshine Coast,Moreton Bay,Online5 yearsfull time or equivalent part-timeCareer outcomesIn-house counsel, Solicitor, Barrister, Government legal officer, Business administration, Contracts officerBachelor ofLawsSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesSolicitor, Barrister, Government legal officer, Judge's associate, Corporate in-house counsel, Business and public service administration",,,088619D,70.0070.0070.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofBusiness  / Commerce (Accounting),59.00,4 years,4 years,"A$14,486 - 2025 Fees",015201,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayOnline,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$14,486 - 2025 FeesCSP","A$14,486 - 2025 FeesCSP",015201014631015041,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inDigital BusinessMoreton Bay,Online6 monthsfull time or equivalent part-timeCareer outcomesDigital specialist, Social media manager, Website developer, Digital business managerDiploma inBusinessMoreton Bay,Sunshine Coast,Online1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure and Event managementBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofBusiness  / CommunicationSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesSocial media manager, Advertising executive, Content strategist, Creative director, Public relations officer, Copywriter, Marketing coordinator, Corporate communications office, Entrepreneur, Innovation managerMaster ofProfessional Accounting MPAMoreton Bay2 yearsfull time or equivalent part-timeCareer outcomesChief Financial Officer, Senior Business Strategist, Chartered Accountant, Key professional in the fast-growing wealth management sector",,,065673K,59.0059.0059.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Communication at UniSC,,,,,,,,,,,,,,,,,,,,,,"Studying communications at UniSC means you'll be immersed in industry-relevant, hands-on experiences, while being taught by experts in the field. Our teaching is so good, it has a five star rating*. And, we're ranked in the top five public universities in Australia for teaching quality.*We'll teach you how to adapt to the communications landscape of the future, while you gain skills to set you up for success in the industry today.*Good Universities Guide 2023/24",,,,,,
Bachelor ofMidwifery (Honours),N/A,1 year,1 year,"A$5,210 - 2025 Fees",N/A,Semester 1,N/A,{{ vm.location }}Sunshine CoastOnline,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$5,210 - 2025 FeesCSP","A$5,210 - 2025 FeesCSP",,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inHealthMoreton Bay,Caboolture,Fraser Coast,Gympie6 monthsfull time or equivalent part-timeCareer outcomesWIth further study - Government roles, Not-for-profit roles, Private health care services, Education, Academia and researchDiploma inAllied Health AssistanceSunshine Coast,Fraser Coast,Caboolture1 yearfull time or equivalent part-timeCareer outcomesAllied health assistants working under supervison of allied health professionals, Support day-to-day running of practiceBachelor ofNursing ScienceSunshine Coast,Gympie,Fraser Coast,Caboolture,Moreton Bay3.3 yearsfull time or equivalent part-timeCareer outcomesNurse in acute care, Community, Regional and remote, Mental health, Indigenous health, Aged careMaster ofNursing (Clinical Leadership)Online1.5 yearsfull time or equivalent part-timeCareer outcomesLeadership, Clinical education, Clinical practice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma inCriminology and Justice,N/A,1 year,1 year,"A$23,500",N/A,Semester 1,N/A,{{ vm.location }}Sunshine Coast,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$23,500Annual fee","A$23,500Annual fee",,Semester 1Semester 2,"Undergraduate Certificate inLegal StudiesSunshine Coast6 monthsfull time or equivalent part-timeCareer outcomesA first step to Paralegal work, Law administration, Law enforcement, Corrections, Youth justiceBachelor ofCriminology and JusticeSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesPolice or law enforcement officer, Custodial corrections officer, Community corrections officer, Criminologist/crime researcher, Security/intelligence analyst, Youth justice officer, Criminal justice policy officerBachelor ofLaws  / Criminology and JusticeSunshine Coast,Moreton Bay,Online5 yearsfull time or equivalent part-timeCareer outcomesLegal research, Law reform research and policy, Development, Advocacy, Political advising, Corruption, White collar crime investigations, Prosecutions, Crime prevention",,,0100425,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Science at UniSC,,,,,,,,,,,,,,,,,,,,,,,"Sustainability is at the heart of everything we do, so naturally it's embedded in our learning, teaching and research. A degree in Science from UniSC will allow you to explore your passions while contributing to real-world projects and experiments. We'll get you ready for a career in your chosen industry with plenty of hands-on practical experience, including laboratory work, fieldwork, and workplace learning.We're the second ranked public universityin Australia for overall experience and student support*. And our graduates are in high demand, with UniSC placing first in Queensland and in the top three in Australia forGraduate Outcomes*.*Good Universities Guide 2023/24",,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Nursing and Midwifery at UniSC,,,,,,,,,,,,,,,,,,,,,,,,"We'll support you throughout your studies to master your skills as a nurse or midwife, and equip you with the tools you need to care for people and keep our communities healthy, happy, and strong. You'll get hands-on experience in UniSC's state-of-the-art simulation facilities, while undertaking clinical placements and treating patients under supervision. This means you'll graduate confident in your skills and ready to make a difference to your community.*Good Universities Guide 2023/24",,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofEngineering (Mechanical) (Honours),60.00,4 years,4 years,"A$8,140 - 2025 Fees",013741,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$8,140 - 2025 FeesCSP","A$8,140 - 2025 FeesCSP",013741014741,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inEngineering DesignSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesWith further study – Civil engineer, Electrical and Electronic engineer, Merchanical engineer, Mechatronic engineerDiploma inScience and TechnologySunshine Coast,Moreton Bay1 yearfull time or equivalent part-timeCareer outcomesEducation, Research, Industry/government, Restoration and conservation, Parks and wildlife, Resource management, Waste and pollution control, Catchment management agencies, Environmental consultant, Wildlife management and conservation organisations, Environmental monitoring and managementBachelor ofEngineering (Civil) (Honours)Sunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesGovernment agencies, Construction companies, Engineering consultancies, Building industry, Mining industry, Research organisationsBachelor ofEngineering (Civil) (Honours)  / Environmental ScienceSunshine Coast,Moreton Bay5 yearsfull time or equivalent part-timeCareer outcomesGovernment agencies, Construction companies, Engineering consultancies, Building industry, Water supply authorities, Mining industry, Research organisations, Parks and wildlife, Resource management, Environmental consultanciesMaster ofScienceSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesProject manager, Management Analyst, Consultant, Operations manager, Human resources manager, Sports manager, Entertainment manager, Industrial production manager",,,090700D,60.0060.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofCreative Industries (Honours),N/A,1 year,1 year,"A$16,992 - 2025 Fees",N/A,Semester 1,N/A,{{ vm.location }}Sunshine Coast,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$16,992 - 2025 FeesCSP","A$16,992 - 2025 FeesCSP",,Semester 1,"Undergraduate Certificate inInteractive MediaSunshine Coast,Moreton Bay,Online1 yearfull time or equivalent part-timeCareer outcomesA first step towards being a professional designer, Interactive media specialist, Game designer, Artist or programmer, Visual communication designer, Photographer, Visualisation designer, Interdisciplinary artist, Creative producer, Fashion designer, Content creator, Design strategistDiploma inCreative IndustriesSunshine Coast,Moreton Bay1 yearfull time or equivalent part-timeCareer outcomesCreative entrepreneur, Performance creator, Screen media professional, Writer, Publisher, Creative director, Music industry professional, Actor, Theatre worker, Entertainment industry professionalBachelor ofBusiness  / Creative IndustriesSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesBusiness manager, Entrepreneur, Marketing coordinator, HR manager, Innovation manager, Communications professional, Market researcher, Writer/publisher, Creative director, Advertising executive, International business, Tourism and hospitality managerMaster ofCreative ArtsSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesCreative writing, Art and digital design, Interactive technologies and games",,,096507A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofOccupational Therapy (Honours),70.00,4 years,4 years,"A$10,272 - 2025 Fees",013421,Semester 1,N/A,{{ vm.location }}Sunshine Coast,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$10,272 - 2025 FeesCSP","A$10,272 - 2025 FeesCSP",013421,Semester 1,"Undergraduate Certificate inAllied Health AssistanceSunshine Coast,Fraser Coast6 monthsfull time or equivalent part-timeCareer outcomesAllied health assistants working under supervison of allied health professionals, Support day-to-day running of practiceDiploma inAllied Health AssistanceSunshine Coast,Fraser Coast,Caboolture1 yearfull time or equivalent part-timeCareer outcomesAllied health assistants working under supervison of allied health professionals, Support day-to-day running of practiceBachelor ofBiomedical ScienceSunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesBiomedical research and education, Biodiscovery, Biotechnology and genetics, cardiac, respiratory and sleep diagnostics, Clinical embryology clinical trial coordination, Communicable disease control, Drug registration, International health, Medical microbiology, Medical sales and marketing, Pharmaceuticals, Scientific writing and publicationMaster ofHealth PromotionOnline2 yearsfull time or equivalent part-timeCareer outcomesPractitioner, Researcher, Academic, Consultant, Policy officer, Social advocate, Project worker, Project manager, Educator in international, national, state and local level government and non-government organisations, Community organisations, Professional associations, Private industry, Tertiary institutions",,,077418D,70.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofEducation (Secondary)  / Recreation and Outdoor Environmental Studies,68.00,4 years,4 years,"A$11,980 - 2025 Fees",017261,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$11,980 - 2025 FeesCSP","A$11,980 - 2025 FeesCSP",017261014061,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inAnimal EcologyFraser Coast,Moreton Bay,Sunshine Coast6 monthsfull time or equivalent part-timeCareer outcomesWith further study - Animal ecology specialist, Private environmental consulting, Researcher, Research assistant, Manager in Government and non-governmental agencies, Ranger, Manager in wildlife management and conservation organisations, Practitioner in environmental monitoring and management, Collector and curator in museums, Environmental educator, Specialist ecotourism guideDiploma inOutdoor Environmental StudiesSunshine Coast1 yearfull time or equivalent part-timeCareer outcomesOutdoor education leaders, Outdoor environmental studies, Entry-level environmental management positionsBachelor ofEnvironmental ManagementSunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesEnvironmental assessment and protection (air, water, land), Natural resource management, Sustainable procurement and corporate stewardship, Environmental education, Policy and legislation development, Research and development of environmental technologiesBachelor ofEngineering (Civil) (Honours)  / Environmental ScienceSunshine Coast,Moreton Bay5 yearsfull time or equivalent part-timeCareer outcomesGovernment agencies, Construction companies, Engineering consultancies, Building industry, Water supply authorities, Mining industry, Research organisations, Parks and wildlife, Resource management, Environmental consultanciesMaster ofClimate Change Adaptation by ResearchSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesClimatologist, Climate scientist, Climate policy analyst, Environmental consulant, Resource manager",,,088624G,68.0068.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofEducation (Secondary)  / Arts,68.00,4 years,4 years,"A$9,848 - 2025 Fees",017221,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$9,848 - 2025 FeesCSP","A$9,848 - 2025 FeesCSP",017221014221^,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inEducation (Primary)Sunshine Coast,Moreton Bay,Fraser Coast6 monthsfull time or equivalent part-timeCareer outcomesChildcare, Long day care, Learning support, Outside school hours careDiploma inEducation Studies (Primary)Online,Fraser Coast1 yearfull time or equivalent part-timeCareer outcomesTeacher aide, Teacher educator, Learning support, Outside school hours careBachelor ofPrimary EducationSunshine Coast,Fraser Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesPrimary school teacher, Private practice tutor, Education consultant, Education policy analyst, Youth support worker, Children's television presenterBachelor ofEducation (Secondary)  / Recreation and Outdoor Environmental StudiesSunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesTeacher in secondary schools, Outdoor leader, Outdoor guide, Sports coach, Outdoor recreation officer, Environmental interpretation guide, Adventure tourism guide, Ecotourism guideMaster ofEducationSunshine Coast,Online3 yearsfull time or equivalent part-timeCareer outcomesHead of Department, School or program leader, Academic, Education advisor",,,082693J,68.0068.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofEngineering (Civil) (Honours)  / Environmental Science,60.00,5 years,5 years,"A$8,140 - 2025 Fees",013751,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,5 years5 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$8,140 - 2025 FeesCSP","A$8,140 - 2025 FeesCSP",013751014751,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inEngineering DesignSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesWith further study – Civil engineer, Electrical and Electronic engineer, Merchanical engineer, Mechatronic engineerDiploma inScience and TechnologySunshine Coast,Moreton Bay1 yearfull time or equivalent part-timeCareer outcomesEducation, Research, Industry/government, Restoration and conservation, Parks and wildlife, Resource management, Waste and pollution control, Catchment management agencies, Environmental consultant, Wildlife management and conservation organisations, Environmental monitoring and managementBachelor ofEnvironmental ScienceSunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesRestoration and conservation, Parks and wildlife, Resource management, Waste and pollution control, Catchment management agencies, Environmental consultantBachelor ofEducation (Secondary)  / Recreation and Outdoor Environmental StudiesSunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesTeacher in secondary schools, Outdoor leader, Outdoor guide, Sports coach, Outdoor recreation officer, Environmental interpretation guide, Adventure tourism guide, Ecotourism guideMaster ofClimate Change Adaptation by ResearchSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesClimatologist, Climate scientist, Climate policy analyst, Environmental consulant, Resource manager",,,085715F,60.0060.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Arts and International Studies at UniSC,,,,,,,,,,,,,,,,,,,,,,,,,"Learn how to communicate effectively, build meaningful relationships and think critically and creatively. You'll build core communication and problem-solving skills that will remain valuable in a period of global disruption and change.Learn from the best at UniSC, which has a five-star rating for teaching*. And the best part? Our graduates in this field tend to have higher starting salaries than the Queensland average.***Good Universities Guide, 2023/24**Quality Indicators for Learning and Teaching (QILT) Graduate Outcomes Survey 2022","An arts degree is versatile and flexible, so you can study a range of subjects that interest you. Mix and match courses in literature, history, psychology, languages, and loads of other areas. It's like a choose-your-own-adventure degree!Learn how to think critically, analyse and interpret complex information, and communicate your ideas effectively - all skills highly sought after by employers in a wide range of industries. You'll be exposed to different perspectives, cultures and ideas so you can broaden your horizons and challenge your assumptions. Plus, you'll be learning from passionate and knowledgeable lecturers who really love their subject areas.An arts degree can be a great foundation for a wide range of careers. You can go on to work in fields like journalism, education, public policy, arts and culture, and more. Many employers value the well-rounded education an arts degree provides, so you may find yourself with unexpected job opportunities.",,
Bachelor ofBusiness  / Criminology and Justice,50.00,4 years,4 years,"A$16,992 - 2025 Fees",017611,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayOnline,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$16,992 - 2025 FeesCSP","A$16,992 - 2025 FeesCSP",017611014611015046,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Bachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofLaws  / BusinessSunshine Coast,Moreton Bay,Online5 yearsfull time or equivalent part-timeCareer outcomesIn-house counsel, Solicitor, Barrister, Government legal officer, Business administration, Contracts officerMaster ofBusiness Administration MBASunshine Coast,Online1.5 yearsfull time or equivalent part-timeCareer outcomesChief Executive Officer, Chief Operating Officer, Chief Financial Officer, General Manager, Senior Project Manager, Account Executive, High level management roles",,,0101885,50.0050.0050.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Psychology and social sciences at UniSC,,,,,,,,,,,,,,,,,,,,,,,,,,,"With the challenges we currently face, there has never been a more relevant time to study psychology and social sciences. At UniSC you'll gain access to world-leading research from UniSC's Thompson Institute, the opportunity to work with patients under supervision on placement, and five-star rated teaching*. Our graduates are in high demand, which is no surprise considering we're ranked first in Queensland for learner engagement, overall experience, student support, teaching quality and graduate outcomes.* And, we're No. 1 in Australia for postgraduate learning resources*.Explore our degrees in psychology and social work and start down the rewarding and fascinating path of supporting others.*Good Universities Guide 2023/24",
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Environmental Studies at UniSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UniSC is the world’s only university operating within three interconnecting UNESCO Biosphere Reserves. At UniSC we live and breathe sustainability. So it makes sense to choose us for your degree in environmental studies. And, we're the top ranked public university in Queensland for teaching quality, learner engagement, student support, learning resources and skills development*.*Good Universities Guide 2023/24"
